1	0													0							0
2	30												30						0		
3	42												42						0		
5	50												46						4		
6	58												52						6		
7	61												54						7		
8	63												54						9		
9	68												56						12		
11	63											48						15			
12	62											43						19			
13	60											40						20			
14	67											41						26			
15	60											39						21			
17	57											36						21			
18	62											41						21			
19	62											39						23			
20	65											41						24			
21	60											38						22			
23	54											34						20			
24	47											30						17			
25	50											30						20			
26	44											22						22			
28	36											17						19			
29	35											17						18			
30	30											13						17			
31	30											14						16			
32	36											19						17			
34	38											19						19			
35	42											19						23			
36	40											18						22			
37	38											17						21			
39	34											17						17			
40	41											22						19			
41	44											23						21			
42	55											30						25			
43	59											32						27			
44	61											32						29			
46	56											33						23			
47	62											35						27			
48	62											35						27			
49	64											34						30			
50	66											34						32			
52	58											27						31			
53	56											25						31			
54	55											25						30			
55	57											26						31			
57	47											21						26			
58	48											22						26			
59	44											21						23			
100	34										16						18				
101	30										18						12				
103	28										16						12				
104	29										18						11				
105	26										14						12				
106	24										14						10				
107	25										14						11				
109	24										14						10				
110	25										15						10				
111	25										15						10				
112	22										11						11				
114	19										10						9				
115	18										9							9			
116	19										10						9				
117	20										10						10				
119	17										8							9			
120	19										9							10			
121	23										12						11				
122	28										14						14				
123	30										16						14				
124	27										15						12				
126	28										17						11				
127	28										16						12				
128	31										17						14				
129	32										17						15				
130	35										18						17				
132	29										16						13				
133	30										16						14				
134	39										19						20				
135	42										20						22				
137	40										21						19				
138	48										24						24				
139	52										26						26				
140	54										28						26				
141	53										27						26				
143	54										28						26				
144	55										28						27				
145	57										30						27				
146	60										33						27				
147	59										33						26				
149	64										34						30				
150	67										34						33				
151	65										34						31				
152	63										32						31				
153	62										32						30				
155	55										29						26				
156	53										28						25				
157	52										26						26				
158	45										23						22				
159	40										20						20				
201	41										20						21				
202	41										19						22				
203	41										19						22				
204	43										22						21				
205	46										23						23				
207	43										21						22				
208	42										22						20				
209	43										22						21				
210	46										25						21				
211	43										24						19				
213	36										22						14				
214	39										23						16				
215	42										25						17				
216	39										23						16				
217	38										23						15				
219	30										19						11				
220	33										21						12				
221	33										21						12				
222	35										22						13				
224	24										17						7				
225	22										17						5				
226	24										17						7				
227	24										17						7				
228	26										17						9				
230	30										17						13				
231	34										19						15				
232	34										17						17				
233	35										17						18				
235	34										15						19				
236	40										19						21				
237	42										21						21				
238	46										25						21				
239	46										24						22				
241	37										21						16				
242	37										21						16				
243	36										20						16				
244	35										20						15				
245	34										20						14				
247	26										16						10				
248	24										15						9				
249	21										11						10				
250	25										13						12				
251	32										19						13				
253	38										22						16				
254	42										24						18				
255	40										23						17				
256	40										23						17				
257	41										23						18				
259	42										23						19				
300	45										24						21				
301	52										27						25				
302	56										29						27				
303	51										25						26				
305	55										27						28				
306	58										27						31				
307	61										29						32				
308	62										29						33				
309	61										30						31				
311	45										23						22				
312	53										27						26				
313	51										26						25				
314	45										22						23				
316	41										21						20				
317	47										25						22				
318	49										28						21				
319	52										31						21				
320	56										34						22				
322	46										29						17				
323	42										28						14				
324	40										27						13				
325	38										26						12				
326	37										25						12				
328	28										21						7				
329	23										17						6				
330	24										18						6				
331	28										17						11				
332	28										18						10				
334	26										18						8				
335	30										18						12				
336	29										17						12				
337	30										17						13				
339	31										18						13				
340	30										17						13				
341	28										16						12				
342	20										11						9				
343	17										8							9			
345	14										9							5			
346	17										10						7				
347	17										10						7				
348	18										10						8				
349	21										14						7				
351	30										20						10				
352	37										24						13				
353	38										24						14				
354	37										22						15				
355	35										21						14				
357	37										21						16				
358	41										24						17				
359	45										27						18				
400	45										28						17				
402	64										38						26				
403	64										37						27				
404	64										38						26				
405	68										42						26				
406	72										44						28				
408	75										44						31				
409	73										43						30				
410	71										42						29				
411	71										40						31				
412	79										44						35				
414	54										31						23				
415	61										36						25				
416	73										45						28				
417	82										50						32				
418	84										52						32				
420	81										52						29				
421	82										53						29				
422	81										53						28				
423	85										57						28				
424	85										57						28				
426	68										45						23				
427	57										39						18				
428	56										39						17				
429	46										32						14				
431	39										28						11				
432	38										28						10				
433	34										24						10				
434	33										21						12				
435	35										22						13				
437	31										20						11				
438	33										22						11				
439	33										23						10				
440	38										24						14				
442	41										26						15				
443	45										28						17				
444	43										27						16				
445	50										30						20				
446	62										39						23				
448	62										40						22				
449	66										40						26				
