1	35	0	16	0
2	48	23	25	0
3	71	27	43	1
5	95	32	51	12
6	115	36	59	20
7	135	43	66	26
8	154	47	71	36
9	157	43	69	45
11	158	44	62	52
12	168	47	61	60
13	161	48	50	63
14	156	47	48	61
16	139	45	42	52
17	131	42	38	51
18	120	36	36	48
19	105	32	30	43
20	105	29	32	44
22	103	30	33	40
23	105	26	37	42
24	113	31	38	44
25	127	38	41	48
27	125	40	41	44
28	141	45	45	51
29	155	50	49	56
30	156	51	50	55
32	147	48	46	53
33	153	48	48	57
34	161	53	50	58
36	167	58	54	55
37	165	55	54	56
38	168	58	55	55
39	164	55	53	56
40	182	61	63	58
42	172	62	62	48
43	167	61	59	47
44	175	61	63	51
45	167	57	64	46
46	155	54	60	41
48	147	50	56	41
49	147	48	57	42
50	151	48	58	45
51	157	53	59	45
53	164	55	64	45
54	160	55	56	49
55	160	55	55	50
56	165	56	58	51
57	168	56	59	53
59	170	60	59	51
100	166	59	56	51
101	161	58	53	50
102	162	54	57	51
104	142	46	53	43
105	138	46	52	40
106	131	43	48	40
107	135	45	50	40
108	134	45	47	42
110	138	44	49	45
111	136	45	46	45
112	131	44	44	43
114	120	39	43	38
115	125	40	45	40
116	120	40	41	39
117	119	41	39	39
119	89	31	33	25
120	88	32	32	24
121	87	32	31	24
123	92	35	31	26
124	97	36	30	31
125	100	36	30	34
126	102	37	30	35
127	110	37	34	39
129	132	47	39	46
130	145	48	47	50
131	152	50	50	52
132	155	49	54	52
134	157	51	52	54
135	156	50	56	50
136	162	52	59	51
137	160	52	60	48
138	154	51	57	46
140	138	46	51	41
141	135	45	51	39
142	133	44	52	37
143	134	46	51	37
145	125	40	48	37
146	136	42	54	40
147	144	40	57	47
148	154	46	58	50
150	154	48	56	50
151	180	57	63	60
152	183	56	63	64
153	194	59	70	65
154	201	62	72	67
156	183	57	63	63
157	177	55	59	63
158	180	54	60	66
200	168	52	57	59
201	149	43	55	51
202	154	45	57	52
203	142	44	51	47
205	139	41	49	49
206	153	47	53	53
207	153	47	53	53
208	161	52	55	54
210	153	50	52	51
211	129	40	45	44
212	130	43	43	44
214	190	69	63	58
215	131	46	39	46
216	198	72	62	64
217	201	72	61	68
219	158	62	49	47
220	189	69	61	59
221	195	70	63	62
222	199	68	68	63
223	197	68	67	62
225	197	69	66	62
226	165	60	54	51
227	202	69	72	61
228	196	67	69	60
230	186	65	67	54
231	142	51	54	37
232	166	54	63	49
234	159	51	62	46
235	161	51	62	48
236	132	42	53	37
237	124	40	50	34
239	168	52	70	46
240	106	34	40	32
242	164	48	65	51
243	167	49	66	52
244	170	50	66	54
245	171	51	67	53
247	161	48	62	51
248	173	54	66	53
249	176	54	71	51
251	139	43	55	41
252	175	55	71	49
253	129	40	48	41
255	116	35	42	39
256	157	49	64	44
257	148	48	62	38
259	138	44	59	35
300	111	36	48	27
301	126	42	54	30
303	107	35	46	26
304	111	39	46	26
305	91	32	38	21
306	83	31	33	19
307	74	28	29	17
308	65	25	24	16
310	48	19	18	11
311	42	18	16	8
