1	39	0	22	1
2	50	21	25	4
3	92	49	32	11
5	126	63	43	20
6	139	66	47	26
7	148	72	49	27
8	163	75	53	35
9	153	74	41	38
10	164	77	45	42
12	159	74	43	42
13	152	72	42	38
14	141	66	37	38
15	133	64	33	36
16	133	63	35	35
18	117	54	32	31
19	117	53	33	31
20	118	50	35	33
21	114	49	34	31
22	118	49	36	33
24	110	43	36	31
25	107	41	36	30
26	113	41	37	35
27	113	41	38	34
28	108	42	36	30
30	103	44	31	28
31	97	42	29	26
32	90	39	26	25
33	96	41	27	28
34	102	44	27	31
36	100	48	25	27
37	102	50	25	27
38	106	52	26	28
39	105	49	28	28
40	106	47	31	28
42	96	43	28	25
43	97	43	29	25
44	99	43	29	27
45	90	38	26	26
46	84	34	25	25
48	82	32	25	25
49	79	31	23	25
50	72	31	19	22
51	75	32	20	23
52	76	34	21	21
54	58	27	17	14
55	63	30	18	15
56	68	32	18	18
57	73	38	18	17
58	74	37	21	16
100	85	41	23	21
101	83	39	22	22
102	85	38	25	22
103	85	38	25	22
104	86	39	26	21
106	77	36	22	19
107	76	35	20	21
108	72	34	18	20
109	65	32	16	17
110	69	35	16	18
112	65	34	12	19
113	61	33	12	16
114	59	32	11	16
115	54	27	11	16
116	64	28	17	19
118	74	31	20	23
119	77	31	23	23
120	77	30	25	22
121	78	30	27	21
122	81	30	28	23
124	83	30	28	25
125	89	31	30	28
126	84	32	24	28
127	83	32	25	26
128	78	32	22	24
130	80	31	24	25
131	82	32	24	26
132	85	36	25	24
133	82	34	23	25
134	79	33	23	23
136	77	33	23	21
137	88	34	30	24
138	103	42	35	26
139	117	45	38	34
140	125	48	40	37
142	120	46	37	37
143	121	46	38	37
144	124	51	36	37
145	127	51	38	38
146	132	54	39	39
148	112	49	32	31
149	104	46	30	28
150	100	44	30	26
151	106	39	37	30
152	113	40	39	34
154	105	37	37	31
155	102	37	35	30
156	112	43	39	30
157	113	43	39	31
158	117	46	39	32
200	112	43	38	31
201	104	42	34	28
202	100	40	36	24
203	91	37	33	21
204	89	36	32	21
206	77	30	28	19
207	73	29	26	18
208	61	24	21	16
209	66	26	21	19
210	64	23	22	19
212	65	24	22	19
213	72	27	23	22
214	100	36	33	31
215	127	47	43	37
216	137	53	45	39
218	152	57	51	44
219	153	56	52	45
220	154	57	52	45
221	155	58	52	45
222	156	58	53	45
224	128	50	40	38
225	115	46	35	34
226	95	36	32	27
227	69	28	23	18
228	70	28	23	19
230	62	25	20	17
231	61	24	20	17
232	61	26	19	16
233	61	25	20	16
234	66	26	24	16
236	67	26	24	17
237	68	26	24	18
238	69	28	23	18
239	74	29	25	20
240	79	31	26	22
242	78	32	26	20
243	80	34	26	20
244	78	35	22	21
245	79	35	23	21
246	83	38	24	21
248	78	37	23	18
249	78	37	21	20
250	71	34	18	19
251	72	32	18	22
252	72	31	19	22
254	69	29	20	20
255	73	32	21	20
256	87	37	25	25
257	91	38	26	27
258	102	40	29	33
300	102	40	29	33
301	102	40	31	31
302	100	39	28	33
303	105	40	30	35
304	107	38	33	36
306	85	29	29	27
307	82	26	30	26
308	73	24	27	22
309	81	27	31	23
310	74	24	28	22
311	73	23	28	22
313	67	22	26	19
314	75	25	28	22
315	69	26	24	19
316	70	24	23	23
318	60	21	19	20
319	56	19	18	19
320	61	19	21	21
321	66	23	22	21
322	64	23	21	20
324	56	22	18	16
