1	0	0	0
2	20	20	0
3	32	32	0
4	53	53	0
5	65	61	4
6	71	63	8
7	71	63	8
8	79	63	16
9	75	55	20
11	76	52	24
12	73	43	30
13	64	31	33
14	65	28	37
15	65	26	39
17	67	29	38
18	68	31	37
19	66	32	34
20	66	31	35
22	58	28	30
23	50	24	26
24	57	30	27
25	56	32	24
26	58	34	24
28	52	27	25
29	55	29	26
30	49	24	25
31	58	27	31
32	61	30	31
34	58	28	30
35	62	28	34
36	62	27	35
37	62	27	35
38	61	26	35
40	53	24	29
41	53	25	28
42	58	28	30
43	56	26	30
44	59	27	32
46	54	25	29
47	52	25	27
48	55	25	30
49	53	24	29
51	56	26	30
52	52	26	26
53	57	27	30
54	56	29	27
55	58	31	27
56	60	34	26
58	55	32	23
59	53	31	22
100	50	28	22
101	41	23	18
102	39	21	18
104	38	21	17
105	34	19	15
106	31	18	13
107	30	16	14
109	33	17	16
110	34	20	14
111	39	21	18
112	42	24	18
113	42	25	17
115	39	25	14
116	43	28	15
117	43	27	16
118	44	28	16
119	42	27	15
121	36	24	12
122	35	24	11
123	36	24	12
124	40	25	15
125	37	21	16
127	36	22	14
128	33	20	13
129	33	20	13
130	36	21	15
131	37	20	17
133	34	18	16
134	34	19	15
135	36	20	16
136	33	17	16
137	28	14	14
139	27	14	13
140	25	13	12
141	22	12	10
142	22	12	10
143	22	13	9
145	17	11	6
146	17	10	7
147	17	11	6
148	19	12	7
150	18	10	8
151	23	12	11
152	33	18	15
153	34	19	15
154	35	20	15
156	39	23	16
157	40	22	18
158	42	24	18
159	42	24	18
200	44	24	20
202	42	23	19
203	47	26	21
204	40	22	18
205	42	24	18
206	41	24	17
208	40	24	16
209	38	24	14
210	37	23	14
211	33	20	13
213	33	19	14
214	30	18	12
215	30	18	12
216	27	15	12
217	29	16	13
219	28	15	13
220	28	14	14
221	32	18	14
222	33	19	14
223	34	17	17
225	29	15	14
226	27	15	12
227	26	14	12
228	25	13	12
229	23	13	10
230	22	12	10
232	16	7	9
233	11	5	6
234	11	5	6
235	11	6	5
236	14	7	7
238	14	8	6
239	16	9	7
240	16	10	6
241	16	9	7
242	18	11	7
244	19	12	7
245	17	11	6
246	17	10	7
247	20	11	9
249	20	11	9
250	19	10	9
251	18	9	9
252	18	9	9
253	23	14	9
255	22	15	7
256	22	14	8
257	19	13	6
258	17	12	5
259	19	14	5
301	21	15	6
302	26	19	7
303	19	13	6
304	19	13	6
305	20	14	6
307	19	14	5
308	24	17	7
309	27	19	8
310	29	19	10
311	33	22	11
313	41	27	14
314	40	27	13
315	37	24	13
316	37	24	13
317	39	25	14
319	37	24	13
320	40	27	13
321	39	27	12
322	28	20	8
323	22	17	5
325	23	18	5
326	28	21	7
327	38	26	12
328	46	34	12
329	55	40	15
331	54	38	16
332	54	38	16
333	56	40	16
334	57	40	17
335	55	38	17
337	42	30	12
338	33	23	10
339	25	18	7
340	28	21	7
341	27	21	6
343	22	17	5
344	18	14	4
345	17	13	4
346	18	14	4
347	19	15	4
349	18	13	5
350	19	15	4
351	16	13	3
352	14	11	3
353	12	10	2
355	14	12	2
356	17	14	3
357	20	15	5
358	18	13	5
359	15	10	5
401	16	10	6
402	16	10	6
403	17	11	6
404	16	10	6
405	17	10	7
407	17	10	7
408	15	8	7
409	16	9	7
410	17	11	6
411	19	14	5
413	20	15	5
414	20	16	4
415	22	17	5
416	24	19	5
418	24	19	5
419	25	20	5
420	25	19	6
421	26	20	6
423	22	17	5
424	22	17	5
425	19	16	3
426	18	15	3
428	14	13	1
429	14	13	1
430	11	10	1
431	11	10	1
433	13	12	1
434	15	12	3
435	19	15	4
436	21	17	4
438	23	17	6
439	24	17	7
440	23	17	6
441	24	18	6
442	27	19	8
444	22	14	8
445	21	13	8
446	20	12	8
447	25	15	10
449	23	14	9
450	22	13	9
451	22	14	8
452	22	14	8
454	27	17	10
455	31	20	11
456	34	21	13
457	42	28	14
458	46	31	15
500	48	33	15]
